References,Quantity Per PCB,Value,Rating,Manufacturer,MPN,Description,Footprint
Component Groups:,62
Component Count:,175
Fitted Components:,170
Number of PCBs:,1
Total components:,170
Schematic Version:,
Schematic Date:,
PCB Variant:,"""default"""
BoM Date:,Tue 03 Dec 2019 04:31:45 CST
Schematic Source:,/home/jeff/projects/2019/tr20-badge/repos/tr20-badge-hw/r1/tr20/tr20.sch
KiCad Version:,Eeschema 5.99.0-unknown-r17145-8bd2765f
