### Module positions - created on Tue 03 Dec 2019 04:23:24 CST ###
### Printed by Pcbnew version 5.99.0-unknown-r17145-8bd2765f
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val                   Package                                                      PosX       PosY       Rot  Side
C75       100nF                 C_0402_1005Metric                                         36.0582   109.1160   90.0000  bottom
D1        Green                 1206                                                     -26.4000    96.6000  180.0000  bottom
D2        Orange                1206                                                     -26.4000    99.0000  180.0000  bottom
D3        SS13FL                D_SOD-123F                                               -38.6080    99.1108   90.0000  bottom
D4        Yellow                1206                                                     -26.4000   101.4000  180.0000  bottom
D5        _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -33.7900   124.7100  -12.5000  bottom
D6        _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -31.2500   125.2700  167.5000  bottom
D7        _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -28.7200   125.8300  167.5000  bottom
D8        SS13FL                D_SOD-123F                                               -19.9000   113.5500    0.0000  bottom
D9        SS13FL                D_SOD-123F                                               -19.8828   111.2214  180.0000  bottom
D10       SS13FL                D_SOD-123F                                               -23.8000   106.4000    0.0000  bottom
D11       _ESD5Z6.0T5G          SOD-523-numbered-pads                                     -3.4290    34.7426  -90.0000  bottom
D12       _ESD5Z6.0T5G          SOD-523-numbered-pads                                     -1.9558    34.7426  -90.0000  bottom
D17       _ESD5Z6.0T5G          SOD-523-numbered-pads                                      2.4638    34.7426  -90.0000  bottom
D18       _ESD5Z6.0T5G          SOD-523-numbered-pads                                      0.9906    34.7426  -90.0000  bottom
D19       _ESD5Z6.0T5G          SOD-523-numbered-pads                                     -0.4826    34.7426  -90.0000  bottom
D20       _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -47.5996   116.1288   -9.0000  bottom
D21       _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -47.3456   114.6048   -9.0000  bottom
FID4      Fiducial              Fiducial_1mm_Mask2mm                                     -42.0000   115.0000   -0.0000  bottom
FID5      Fiducial              Fiducial_1mm_Mask2mm                                      45.0000   117.0000   -0.0000  bottom
FID6      Fiducial              Fiducial_1mm_Mask2mm                                     -20.0000    22.0000   -0.0000  bottom
J1        532610271             Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal    -8.1000   100.9000   90.0000  bottom
J3        UJ2-AH-1-SMT          jing-lcsc-C46400                                          31.4000   124.3000   13.0000  bottom
J4        TF-15x15              microSD_HC_Sofng_TF-15                                    47.7520   102.6668   89.0000  bottom
J5        Conn_01x24            AFC07x24-1MP_P0.5mm_Horizontal                           -34.2078   112.5714  -90.0000  bottom
J6        3020-10-0300-00       IDC-Header_2x05_P2.54mm_Vertical_SMD                      19.2532   107.1626  180.0000  bottom
J9        532610271             Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal   -25.7377    39.7985   90.0000  bottom
J10       PJ-320D               Jack_3.5mm_PJ320D_Horizontal                             -46.1264   123.3424  -99.0000  bottom
L1        10uH_1A               L_Taiyo-Yuden_MD-5050                                    -25.0000   110.5000  -90.0000  bottom
L2        10nH                  L_0402_1005Metric                                          6.2992    33.2002  180.0000  bottom
L3        12nH                  L_0402_1005Metric                                          7.5438    30.6094  -90.0000  bottom
L4        15nH                  L_0402_1005Metric                                          8.9408    32.1715    0.0000  bottom
L5        7.5nH                 L_0402_1005Metric                                          5.4864    30.6856  -90.0000  bottom
L6        12nH                  L_0402_1005Metric                                          9.4107    30.6094  -90.0000  bottom
L7        18nH                  L_0402_1005Metric                                          5.4737    27.7138  -90.0000  bottom
L8        12nH                  L_0402_1005Metric                                          6.9215    26.2025  180.0000  bottom
L9        12nH                  L_0402_1005Metric                                          8.5090    21.0971  180.0000  bottom
L10       12nH                  L_0402_1005Metric                                          8.4582    29.0346    0.0000  bottom
LED1      SK6812                LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_no_silk            52.1970   114.6810  -96.0000  bottom
LED2      SK6812                LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_no_silk            48.2600    67.7545  -74.0000  bottom
LED3      SK6812                LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_no_silk            25.0444    24.7396  -49.0000  bottom
LED4      SK6812                LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_no_silk           -25.0444    24.7396   49.0000  bottom
LED5      SK6812                LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_no_silk           -48.2600    67.7545   74.0000  bottom
LED6      SK6812                LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_no_silk           -52.1970   114.6810   96.0000  bottom
Q1        MMBT3904-TP           SOT-23-3                                                 -15.6975   120.2475   45.0000  bottom
Q2        MMBT3904-TP           SOT-23-3                                                 -18.5000   117.4500   45.0000  bottom
Q3        MMBT3904-TP           SOT-23-3                                                 -19.4056   121.9708  135.0000  bottom
Q4        DMG2305UX-13          SOT-23-3                                                 -41.7000   100.6000  -90.0000  bottom
Q5        DMG2305UX-13          SOT-23-3                                                 -47.6000   100.6000   90.0000  bottom
Q6        SSM3K376R             SOT-23                                                   -29.5000   108.0000   90.0000  bottom
Q7        MMBT3904-TP           SOT-23-3                                                  51.4350   119.5070   -6.0000  bottom
R1        10k                   R_0402_1005Metric                                        -15.1500   116.8000  -45.0000  bottom
R2        10k                   R_0402_1005Metric                                        -16.5500   114.5000  -135.0000  bottom
R3        10k                   R_0402_1005Metric                                        -20.9000   119.7600  -135.0000  bottom
R4        1k                    R_0402_1005Metric                                         10.9728   120.2944    0.0000  bottom
R5        1k                    R_0402_1005Metric                                         10.9728   121.2596    0.0000  bottom
R6        10k                   R_0402_1005Metric                                         20.5000   126.6000  180.0000  bottom
R7        10k                   R_0402_1005Metric                                        -15.3670   131.0132   90.0000  bottom
R8        1k                    R_0402_1005Metric                                        -35.5125   100.9000  180.0000  bottom
R9        1k                    R_0402_1005Metric                                        -30.7000    96.2000  180.0000  bottom
R10       1k                    R_0402_1005Metric                                        -30.7000    97.7000  180.0000  bottom
R11       10k                   R_0402_1005Metric                                        -50.1904    99.0092   90.0000  bottom
R12       10k                   R_0402_1005Metric                                        -30.7000   100.3000    0.0000  bottom
R13       1k                    R_0402_1005Metric                                        -30.7000   101.8000  180.0000  bottom
R14       10k                   R_0402_1005Metric                                        -40.8828   126.0214  -102.5000  bottom
R15       10k                   R_0402_1005Metric                                        -40.4528   124.0729  -102.5000  bottom
R16       10k                   R_0402_1005Metric                                        -40.0328   122.1964  -102.5000  bottom
R17       1k                    R_0402_1005Metric                                        -25.9078   119.2714  -12.5000  bottom
R19       10k                   R_0402_1005Metric                                         35.9058   114.8842   90.0000  bottom
R28       10k                   R_0402_1005Metric                                         34.4151   102.9867  -91.0000  bottom
R29       10k                   R_0402_1005Metric                                         33.9689   100.7081  -91.0000  bottom
R30       10k                   R_0402_1005Metric                                         35.4618    97.4582   89.0000  bottom
R31       10k                   R_0402_1005Metric                                         35.3996   104.0849  -91.0000  bottom
R32       10k                   R_0402_1005Metric                                        -19.6500   105.5500  180.0000  bottom
R33       3R                    R_0402_1005Metric                                        -27.0000   106.2000  -90.0000  bottom
R34       1k                    R_0402_1005Metric                                         48.9966   120.4468   84.0000  bottom
R35       1k                    R_0402_1005Metric                                         49.5554   115.5446   84.0000  bottom
R36       56k                   R_0402_1005Metric                                          5.4991    35.6005  180.0000  bottom
R37       10k                   R_0402_1005Metric                                         -7.1882    37.2364    0.0000  bottom
R38       10R                   R_0402_1005Metric                                          3.6830    33.2002  180.0000  bottom
